Timestamp,URL,CNN_Pred,LSTM_Pred,Final_Label,Heuristics
2025-04-09T20:13:39.157064,https://mondialrelay-public.com/,PHISHING,PHISHING,PHISHING,None
2025-04-09T20:14:02.692309,https://kraikeinlogien.webflow.io,PHISHING,PHISHING,PHISHING,None
2025-04-09T20:14:36.910325,https://en.wikipedia.org/wiki/Phishing,PHISHING,PHISHING,PHISHING,None
2025-04-09T20:14:54.356877,https://www.apple.com,PHISHING,PHISHING,PHISHING,None
2025-04-09T20:20:45.860049,htpps://google.com,N/A,N/A,PHISHING,Unreachable
2025-04-09T20:21:01.997134,https://google.com,LEGITIMATE,LEGITIMATE,LEGITIMATE,None
2025-04-09T20:21:20.702067,https://apple.com,LEGITIMATE,LEGITIMATE,LEGITIMATE,None
2025-04-09T20:21:41.706980,https://mondialrelay-public.com/,PHISHING,LEGITIMATE,PHISHING,None
2025-04-09T20:24:26.522889,https://mondialrelay-public.com/,PHISHING,LEGITIMATE,PHISHING,None
2025-04-09T20:24:36.756044,https://google.com,LEGITIMATE,LEGITIMATE,LEGITIMATE,None
2025-04-09T20:25:54.627945,https://instagram.com/login,PHISHING,LEGITIMATE,LEGITIMATE,Suspicious keyword
2025-04-09T20:26:15.190966,https://instagram.com,LEGITIMATE,LEGITIMATE,LEGITIMATE,None
2025-04-18T19:37:52.602814,https://google.com,LEGITIMATE,LEGITIMATE,LEGITIMATE,None
2025-04-18T19:38:04.977133,https://g00gle.com,N/A,N/A,PHISHING,Unreachable
2025-04-18T19:38:50.490049,https://g00gle.com,N/A,N/A,PHISHING,Unreachable
2025-04-18T19:38:55.625525,http://r5hyb.k5l6.workers.dev,PHISHING,PHISHING,PHISHING,None
2025-04-18T19:40:16.709048,https://sdodc91cc02-us-east-2.s3.us-east-2.amazonaws.com/a463c2c0-.htm...,N/A,N/A,PHISHING,Unreachable
2025-04-18T19:40:32.084209,https://han.gl/1zeE2,N/A,N/A,PHISHING,Unreachable
2025-04-18T19:40:48.376227,http://netflx-ar.com,PHISHING,PHISHING,PHISHING,None
2025-04-18T20:07:08.476506,https://pancorretora.com/,PHISHING,LEGITIMATE,PHISHING,None
2025-04-18T20:07:34.271182,https://www.betlovs.store/,PHISHING,PHISHING,PHISHING,None
2025-04-18T20:07:53.219164,http://netflx-ar.com,PHISHING,PHISHING,PHISHING,None
